Date,User,Tweet,clean_tweets
2022-09-03 13:48:04+00:00,kim,@Murakariuki @AbsaKenya I am a client of @AbsaKenya and each month they send e-statements in pdf for KES 36. Other… https://t.co/dmJGodmeVv,I client month send e-statements pdf KES 36. Other…
2022-09-03 13:41:32+00:00,Kevin Moless,@Murakariuki @AbsaKenya Africanacity at its best. Welcome to @KCBGroup,Africanacity best. Welcome
2022-09-03 13:37:21+00:00,Robert,@AbsaKenya @Murakariuki Why should he check his dm. Lay it out here for all your customers. Are his allegations true or false,Why check dm. Lay customers. Are allegations true false
2022-09-03 13:31:26+00:00,Reagan Moseti,@Murakariuki @AbsaKenya Hii ni wizi how does the @CBKKenya allow it to happen,Hii ni wizi allow happen
2022-09-03 13:25:24+00:00,Tole,@WaithiraMohmood @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Ahsante.,Ahsante.
2022-09-03 13:22:48+00:00,Tole,@Mottomaq @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Sad really.,Sad really.
2022-09-03 13:22:37+00:00,William Okoth,@ChairmanTole @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime True but is that the only consideration?,True consideration?
2022-09-03 13:21:20+00:00,Baba Dennis,@Murakariuki @AbsaKenya Same thing with @HFCKenyaCare  120 bob a page. Something i find so ridiculous..na hawana haya!,Same thing 120 bob page. Something find ridiculous..na hawana haya!
2022-09-03 13:19:43+00:00,Tole,@ngaruman @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Will do ndeo.,Will ndeo.
2022-09-03 13:14:42+00:00,Tole,@ChiboliS @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime You maybe right but there is one employ… https://t.co/3My8LahN4R,You maybe right one employ…
2022-09-03 13:08:37+00:00,Tole,@abbah_mwamburi @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Absolutely!,Absolutely!
2022-09-03 13:07:25+00:00,Tole,@En_Lloyd @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime @NCBABankKenya has never had a branch in the whole county.,never branch whole county.
2022-09-03 13:05:50+00:00,Tole,@williamokoth @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Mwatate is central.,Mwatate central.
2022-09-03 13:04:01+00:00,Tole,@ckisuke @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime It is. To change your details you have t… https://t.co/UpZD9dhiTE,It is. To change details t…
2022-09-03 12:59:03+00:00,Tole,@TuJadili @ChiboliS @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Mwatate is the HQs,Mwatate HQs
2022-09-03 12:57:39+00:00,Tole,@thisistheway014 @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime There is a story of two shoe man… https://t.co/tZOARdkGHQ,There story two shoe man…
2022-09-03 12:55:50+00:00,Kulei Lebanon,@AbsaKenya @Murakariuki Mnataka tuhame?,Mnataka tuhame?
2022-09-03 12:51:11+00:00,Kitunguu,@Murakariuki @AbsaKenya @AbsaKenya mnafanya hivi why?,mnafanya hivi why?
