Date,User,Tweet,clean_tweets
2022-09-03 12:29:27+00:00,George N.e🇰🇪,"When i paid for a month of Xbox live with #paypal  i got 23 days,now i pay with safaricom and get the full 30days,hongera #safaricom","When paid month Xbox live #paypal got 23 days,now pay safaricom get full 30days,hongera #safaricom"
2022-09-03 12:28:01+00:00,Safaricom Care,"@johnfokisi Hello @johnfokisi, our sincere apologies for the inconvenience. Restart your phone and let us know if you keep getting them. ^OG","Hello , sincere apologies inconvenience. Restart phone let us know keep getting them. ^OG"
2022-09-03 12:27:19+00:00,Masibili,"I got a call from @Safaricom_Care at  10:40 AM, i couldn't pick coz i was busy. Another call came through at 12:40… https://t.co/Zmp2YjM54w","I got call 10:40 AM, pick coz busy. Another call came 12:40…"
2022-09-03 12:23:56+00:00,John Fokisi,@Safaricom_Care 30 messages to tell me my bonga balance only. Get series guys,30 messages tell bonga balance only. Get series guys
2022-09-03 12:20:43+00:00,Bible Yosef,"@Tseday @PMEthiopia Safaricom is on horizon
Banks are coming
Free trade zones are being established

For TPLF's car… https://t.co/VQVbdSe8qn",Safaricom horizon Banks coming Free trade zones established For TPLF's car…
2022-09-03 12:17:22+00:00,Brains tupu™🗯️,"Safaricom wanajua ni nani anakukulia mamaaah na hawaezi kuambia...stay strong 😂😂💔
@kiariewanjiku5",Safaricom wanajua ni nani anakukulia mamaaah na hawaezi kuambia...stay strong 😂😂💔
2022-09-03 12:14:50+00:00,Charles snr,@RixxChris @Safaricom_Care Someone's business and will be sad they see you opt out,Someone's business sad see opt
2022-09-03 12:07:10+00:00,Reen💫,Safaricom wameshinda kuniambia niredeem bonga points,Safaricom wameshinda kuniambia niredeem bonga points
2022-09-03 12:01:56+00:00,Safaricom Care,"@natishem Hello,sorry for the inconvenience, kindly inbox your reachable number for further assistance.^PO","Hello,sorry inconvenience, kindly inbox reachable number assistance.^PO"
2022-09-03 12:01:16+00:00,Pokus_omyl,"Občas se stane, že děti do dvou let nemají jméno a rodiče je prostě oslovují “That one” nebo “This one”. I vlastní… https://t.co/7h3WP8zShK","Občas se stane, že děti dvou let nemají jméno rodiče je prostě oslovují “That one” nebo “This one”. I vlastní…"
2022-09-03 11:59:04+00:00,Safaricom Care,@BobEdokho Apologies Robert for that. Kindly search network manually to stop multiple SMS.   ^PI,Apologies Robert that. Kindly search network manually stop multiple SMS. ^PI
2022-09-03 11:58:54+00:00,MR.TRANQUILO,"@SafaricomCare79 @Safaricom_Care @SafaricomPLC ,mliamua mi sitawai pewa  fuliza jamani, devastating",",mliamua mi sitawai pewa fuliza jamani, devastating"
2022-09-03 11:57:58+00:00,BLINDER,@Safaricom_Care you guys are petty little thieves,guys petty little thieves
2022-09-03 11:55:51+00:00,Robert,@Safaricom_Care WTF?? https://t.co/3oW7sjB56L,WTF??
2022-09-03 11:54:16+00:00,Jackline Nkirote,"@SafaricomPLC I'm a happy brand ambassador  ,working with Safaricom  in remote  areas..#kudossafaricomplc team ..","I'm happy brand ambassador ,working Safaricom remote areas..#kudossafaricomplc team .."
2022-09-03 11:51:32+00:00,Abojani Investment🇰🇪🇺🇬🇹🇿,"Ethiopia is (finally) opening up its banking sector to foreign investors.

Safaricom launched telco services in the country this week🇪🇹",Ethiopia (finally) opening banking sector foreign investors. Safaricom launched telco services country week🇪🇹
2022-09-03 11:51:16+00:00,Safaricom Care,"@georgekamauone Hello, kindly inbox your reachable number for further assistance.^PO","Hello, kindly inbox reachable number assistance.^PO"
2022-09-03 11:44:34+00:00,🅱️🅰️🅾️🅱️🅰️🅱️,"Hey @Safaricom_Care, @SafaricomPLC, ""Sorry, Sisa is currently unavailable. I, Jose Carmago, will intercept your cal… https://t.co/cxwf6Fqg0X","Hey , , ""Sorry, Sisa currently unavailable. I, Jose Carmago, intercept cal…"
2022-09-03 11:42:37+00:00,Top Kenyan Blogs,[Tech Arena] Safaricom Postpay Customers can now ‘Sambaza’ Data Bundles: If you are a prepay customer using Safaric… https://t.co/snvUWJ8w9A,[Tech Arena] Safaricom Postpay Customers ‘Sambaza’ Data Bundles: If prepay customer using Safaric…
2022-09-03 11:41:31+00:00,Shigz Muiruri,"@odidoowen @AfricaFactsZone Even outside safaricom HQ in westlands no 5G with a 5G enabled phone.

So i co ask, where in Kenya...?","Even outside safaricom HQ westlands 5G 5G enabled phone. So co ask, Kenya...?"
2022-09-03 11:33:37+00:00,David Mjomba,"@Safaricom_Care The billing and target currency is the same, KES, that’s why I’m asking why you’re charging a forex… https://t.co/f23UyHPO9G","The billing target currency same, KES, that’s I’m asking you’re charging forex…"
2022-09-03 11:32:21+00:00,Safaricom Care,"@SmoDav Hi David, prevailing forex rates apply i.e. Transaction cost is zero. Safaricom however applies a Forex Exc… https://t.co/SLdgCbWxQf","Hi David, prevailing forex rates apply i.e. Transaction cost zero. Safaricom however applies Forex Exc…"
2022-09-03 11:26:21+00:00,Ken,@Josh001J @odidoowen @AfricaFactsZone On Airtel or safaricom,On Airtel safaricom
2022-09-03 11:25:43+00:00,David Mjomba,@Safaricom_Care The transaction is for 6840 but you’ve charged a forex charge of 229.41 brining the total deduction… https://t.co/AVoXZmAnCa,The transaction 6840 you’ve charged forex charge 229.41 brining total deduction…
2022-09-03 11:17:27+00:00,Michael kamau,"Big Thanks to the @safaricom_WIT for an awesome session today on Cloud computing fundamentals.

I got to learn more… https://t.co/ssj6HThUj3",Big Thanks awesome session today Cloud computing fundamentals. I got learn more…
2022-09-03 11:03:43+00:00,John Njenga Gachihi,"@amerix Employment:
Bsc Degree majors in Pure Mathematics.
5 yrs experience working in a safaricom shop as the stockist and accountant.",Employment: Bsc Degree majors Pure Mathematics. 5 yrs experience working safaricom shop stockist accountant.
2022-09-03 11:02:41+00:00,Munene Mwaniki,@jnyairo 3. Think a bit outside the box with regard to this 'problematic elections technology thing'. The answer to… https://t.co/OY70riOWPW,3. Think bit outside box regard 'problematic elections technology thing'. The answer to…
2022-09-03 11:00:05+00:00,Mwango Capital,Safaricom Ethiopia is on the move: https://t.co/14UVeS23mP,Safaricom Ethiopia move:
2022-09-03 10:56:57+00:00,SWATCH™,"NEW STR LISTING ALERT!

*WESTLANDS*

Modern 2 Bedroom Apartment with SQ (hence 3bedroom) in Westlands brookside Gro… https://t.co/QI7asT9RcU",NEW STR LISTING ALERT! *WESTLANDS* Modern 2 Bedroom Apartment SQ (hence 3bedroom) Westlands brookside Gro…
2022-09-03 10:55:18+00:00,Flour Girl🧁🇰🇪🇿🇦,@itsLORDROY Niko na safaricom 🎶😂,Niko na safaricom 🎶😂
2022-09-03 10:53:31+00:00,Safaricom Care,"@tomz_santana Hello, what is the issue on your side?^PO","Hello, issue side?^PO"
2022-09-03 10:52:06+00:00,forest hills🌳,@itsmwaura @Safaricom_Care 🤣🤣🤣awaniwess,🤣🤣🤣awaniwess
2022-09-03 10:51:17+00:00,Mwaura ⚪,@tomz_santana @Safaricom_Care Bots will be in your DMs shortly,Bots DMs shortly
2022-09-03 10:49:34+00:00,Safaricom Care,"@tomz_santana Hi Tomz, we shall respond shortly. ^NG","Hi Tomz, shall respond shortly. ^NG"
2022-09-03 10:47:29+00:00,forest hills🌳,@Safaricom_Care check dm kindly,check kindly
2022-09-03 10:43:32+00:00,Anthony Kipkoech,@danielfedha @TimGathima @alexmwanzo How do you delete data pale NHIF? KRA? Random job applications with all the pa… https://t.co/qf49sm8yuW,How delete data pale NHIF? KRA? Random job applications pa…
2022-09-03 10:42:49+00:00,Safaricom Care,@SmoDav @SmoDav : Why do you mean by 'charge forex' Mjomba? ^MZ,: Why mean 'charge forex' Mjomba? ^MZ
2022-09-03 10:34:22+00:00,Safaricom Care,"@muigai_Nywele @muigai_Nywele  Hello Muigai, sorry  it is not possible to search by name. You will be able to acces… https://t.co/1XMvtxYdg9","Hello Muigai, sorry possible search name. You able acces…"
2022-09-03 10:34:02+00:00,David Mjomba,@Safaricom_Care why do you charge forex when a KES transaction is done via Global Pay?,charge forex KES transaction done via Global Pay?
2022-09-03 10:34:01+00:00,LA PULGA,@Safaricom_Care  that number is purporting to be your Customer Care representative https://t.co/qp77aatWlq,number purporting Customer Care representative
2022-09-03 10:29:50+00:00,Safaricom Care,"@muigai_Nywele Hello, kindly inbox your reachable number for further assistance.^PO","Hello, kindly inbox reachable number assistance.^PO"
2022-09-03 10:27:39+00:00,LA PULGA,"@Safaricom_Care  @SafaricomPLC In the   Mpesa App, can i be able to query a specific transaction done months ago le… https://t.co/4v8DVQqKI2","In Mpesa App, able query specific transaction done months ago le…"
2022-09-03 10:15:11+00:00,Safaricom Care,@_qirush Hey. Please check DM.^CQ,Hey. Please check DM.^CQ
2022-09-03 10:14:45+00:00,Safaricom Care,"@MuturisRoastman Hi, please DM https://t.co/jF6LqBUAqM your number as well as 2 number of others (if possible) in the area. ^YK","Hi, please DM number well 2 number others (if possible) area. ^YK"
2022-09-03 10:14:41+00:00,Kibet,@iddrriss__ @JustinTenai Safaricom: get 6hrs minutes at 50 valid for 3hrs,Safaricom: get 6hrs minutes 50 valid 3hrs
2022-09-03 10:10:48+00:00,Nasi,@Safaricom_Care check dm,check
2022-09-03 10:03:28+00:00,Kwee Peace,"@SamNato Yes, safaricom, Airtel na telkom","Yes, safaricom, Airtel na telkom"
2022-09-03 10:00:11+00:00,RoastMan Muturis,@SafaricomPLC @Safaricom_Care tafadhali tuonee neema na network in Kimuka area. Along the Ngong-Suswa road. Calls d… https://t.co/PGaRSa0wwA,tafadhali tuonee neema na network Kimuka area. Along Ngong-Suswa road. Calls d…
2022-09-03 10:00:04+00:00,WALLPAPER COLLEGE 💙,@Safaricom_Care hi how can i stop can barring on my line please help,hi stop barring line please help
2022-09-03 09:57:09+00:00,Dankabs Kabue,Let's go beyond @Safaricom_Care https://t.co/A0qNbxl0b4,Let's go beyond
2022-09-03 09:55:37+00:00,Timmon,@osoroKE @Safaricom_Care Kama account iko doo watafreeze hiyo amount 🤣🤣,Kama account iko doo watafreeze hiyo amount 🤣🤣
2022-09-03 09:55:32+00:00,Safaricom Care,"@EpicLawyer Hello,sorry for the inconvenience, kindly inbox your reachable number for further assistance.^PO","Hello,sorry inconvenience, kindly inbox reachable number assistance.^PO"
2022-09-03 09:53:32+00:00,Safaricom Care,@Dizzbeats90 Apologies for the experience Dizz. DM https://t.co/jF6LqBUAqM your account number &amp; payment details for follow up.   ^PI,Apologies experience Dizz. DM account number &amp; payment details follow up. ^PI
2022-09-03 09:52:48+00:00,Safaricom Care,"@majani06191289 Hello, kindly inbox your reachable number for further assistance.^PO","Hello, kindly inbox reachable number assistance.^PO"
2022-09-03 09:50:43+00:00,Jeyson Nyuah,@Son_of_Laikipia Yani @safaricom @SiliconHBO . hawangepewa all the resources and conduct the election ie in tech as… https://t.co/JiCQJV5D12,Yani . hawangepewa resources conduct election ie tech as…
2022-09-03 09:50:31+00:00,Safaricom Care,"@brianngames Hello, what is the issue on your side?^PO","Hello, issue side?^PO"
2022-09-03 09:50:06+00:00,Safaricom Care,"@Jan__Muli Hello, what is the issue on your side?^PO","Hello, issue side?^PO"
