Date,User,Tweet,clean_tweets
2022-09-04 14:24:45+00:00,💖🌈✨professional zoot apologist✨🌈💖,@CursedrblxMemes Nokia brick.,Nokia brick.
2022-09-04 14:23:22+00:00,maria,multimillonario con nokia 💋 https://t.co/zAjbPfvjpl,multimillonario con nokia 💋
2022-09-04 14:22:35+00:00,countryhumansscatfan45,"Nokia
#countryhumansnsfw #CountryHumans https://t.co/gr572GuNtO",Nokia #countryhumansnsfw #CountryHumans
2022-09-04 14:20:31+00:00,HeatherIAM,"@knishboy @cgeary44 @RexChapman You are kidding right ? Nokia , Linux, SMS texting, saunas , ice skates , xylitol ,… https://t.co/aYzByjYmc1","You kidding right ? Nokia , Linux, SMS texting, saunas , ice skates , xylitol ,…"
2022-09-04 14:20:18+00:00,Olaf Enkrodt,"Das berühmte [ Fame ] ""Nokia"" Handy von Olaf Enkrodt Johnny de Brest 2011 - 2015, das von unzähligen Personen gehac… https://t.co/lQBhATuPi2","Das berühmte [ Fame ] ""Nokia"" Handy von Olaf Enkrodt Johnny de Brest 2011 - 2015, das von unzähligen Personen gehac…"
2022-09-04 14:19:37+00:00,Silvana Bilyk,@Tochadas_01 Falta el mejor de todos. Nokia 1100,Falta el mejor de todos. Nokia 1100
2022-09-04 14:18:56+00:00,Bukan OtongKoil,"@vanillaics @JVLEHA Kasian ya, miskin literasi
Kaya ngebandingin iphone 13 pro max sama nokia 3315🤣🤣🤣🤣","Kasian ya, miskin literasi Kaya ngebandingin iphone 13 pro max sama nokia 3315🤣🤣🤣🤣"
2022-09-04 14:18:46+00:00,Joe Peichel,"@JonErlichman Yes…good old Wireless Access Protocol 😂, on Nokia and Palm VII","Yes…good old Wireless Access Protocol 😂, Nokia Palm VII"
2022-09-04 14:16:52+00:00,T♡BI,I understand why you did it trust me honest to God I do Your team your people even you personally wanted to do this… https://t.co/4fPtkvWCaw,I understand trust honest God I Your team people even personally wanted this…
2022-09-04 14:16:34+00:00,#Fer,"2 veces subí la foto con Lucas, las dos veces Ig dijo ""con calidad no mi ciela"" y se subió como si la hubiera sacad… https://t.co/L6XJtxAxPT","2 veces subí la foto con Lucas, las dos veces Ig dijo ""con calidad mi ciela"" se subió como si la hubiera sacad…"
2022-09-04 14:15:14+00:00,Ali,یقین مانیں جس طرح Nokia 3310 میں 4G والا آپشن نہیں ہے اسی طرح PDM میں بھی غیرت والا آپشن نہیں ہے 🤣😂,یقین مانیں جس طرح Nokia 3310 میں 4G والا آپشن نہیں ہے اسی طرح PDM میں بھی غیرت والا آپشن نہیں ہے 🤣😂
2022-09-04 14:14:27+00:00,Pσσʝα ɱ Bɦαɳ∂ωαℓ∂α૨,Nokia’s Circular eco-subscription wrestles with the smartphone waste problem    https://t.co/1wlG4vQoPI,Nokia’s Circular eco-subscription wrestles smartphone waste problem
2022-09-04 14:14:10+00:00,eX-Xbox Gamer,@Francis97031608 @indie_xbox @enkoo85 Your argument is like a Nokia 3310 having all week battery life vs a smartpho… https://t.co/9IVBqPcdN3,Your argument like Nokia 3310 week battery life vs smartpho…
2022-09-04 14:12:39+00:00,Sanket,Nokia Cricket game shot from KL 👌,Nokia Cricket game shot KL 👌
2022-09-04 14:12:21+00:00,Daniele Gianolla,"@nerditudine Comunque, se ti interessano cose vecchie in buono stato (tipo vecchi nokia o altri reperti anni 80 o 9… https://t.co/JHI9LJV1Vf","Comunque, se ti interessano cose vecchie buono stato (tipo vecchi nokia altri reperti anni 80 9…"
2022-09-04 14:12:04+00:00,Teg6,A assinatura ecológica Circular da Nokia luta com o problema do desperdício de smartphones https://t.co/T2TQIexcIF,A assinatura ecológica Circular da Nokia luta com problema desperdício de smartphones
2022-09-04 14:12:04+00:00,Santiago hostis,@microsoft #cortana  I haven't used you since the Nokia Lumia 1020. I appreciate your attention but esports does no… https://t.co/eQjaMDlpP1,#cortana I used since Nokia Lumia 1020. I appreciate attention esports no…
2022-09-04 14:12:02+00:00,Samantha James,@Vonbucksss1 Nokia been bad fr ns,Nokia bad fr ns
2022-09-04 14:11:46+00:00,Langgeng,"@MuhammadIkhtid4 150rb beli hp, hp nokia lawas aja 350rb, rezim kalau gk ngerti, gk fahm alias gk cerdas y gt, gk b… https://t.co/uX6by3iw0H","150rb beli hp, hp nokia lawas aja 350rb, rezim kalau gk ngerti, gk fahm alias gk cerdas gt, gk b…"
2022-09-04 14:11:28+00:00,pixie 𐐪ï𐑂,@archivedzion it’s actually a nokia brick phone,it’s actually nokia brick phone
2022-09-04 14:10:54+00:00,mau,"@rurukiah ANG SAMA, NOKIA 😔😔","ANG SAMA, NOKIA 😔😔"
2022-09-04 14:10:08+00:00,WindowsPhone,NokiaはないにせよサムソンとかHTCからなら…,NokiaはないにせよサムソンとかHTCからなら…
